section,method,url,doc,doc_url
Call Controls,POST,https://webexapis.com/v1/telephony/calls/resumeRecording,Resume Recording,https://developer.webex.com/docs/api/v1/call-controls/resume-recording
Call Controls,POST,https://webexapis.com/v1/telephony/calls/transmitDtmf,Transmit DTMF,https://developer.webex.com/docs/api/v1/call-controls/transmit-dtmf
Call Controls,POST,https://webexapis.com/v1/telephony/calls/push,Push,https://developer.webex.com/docs/api/v1/call-controls/push
Call Controls,POST,https://webexapis.com/v1/telephony/calls/pickup,Pickup,https://developer.webex.com/docs/api/v1/call-controls/pickup
Call Controls,POST,https://webexapis.com/v1/telephony/calls/bargeIn,Barge In,https://developer.webex.com/docs/api/v1/call-controls/barge-in
Call Controls,GET,https://webexapis.com/v1/telephony/calls,List Calls,https://developer.webex.com/docs/api/v1/call-controls/list-calls
Call Controls,GET,https://webexapis.com/v1/telephony/calls/{callId},Get Call Details,https://developer.webex.com/docs/api/v1/call-controls/get-call-details
Call Controls,GET,https://webexapis.com/v1/telephony/calls/history,List Call History,https://developer.webex.com/docs/api/v1/call-controls/list-call-history
Device Configurations,GET,https://webexapis.com/v1/deviceConfigurations,List Device Configurations for device,https://developer.webex.com/docs/api/v1/device-configurations/list-device-configurations-for-device
Device Configurations,PATCH,https://webexapis.com/v1/deviceConfigurations,Update Device Configurations,https://developer.webex.com/docs/api/v1/device-configurations/update-device-configurations
Devices,GET,https://webexapis.com/v1/devices,List Devices,https://developer.webex.com/docs/api/v1/devices/list-devices
Devices,GET,https://webexapis.com/v1/devices/{deviceId},Get Device Details,https://developer.webex.com/docs/api/v1/devices/get-device-details
Devices,DELETE,https://webexapis.com/v1/devices/{deviceId},Delete a Device,https://developer.webex.com/docs/api/v1/devices/delete-a-device
Devices,PATCH,https://webexapis.com/v1/devices/{deviceId},Modify Device Tags,https://developer.webex.com/docs/api/v1/devices/modify-device-tags
Devices,POST,https://webexapis.com/v1/devices/activationCode,Create a Device Activation Code,https://developer.webex.com/docs/api/v1/devices/create-a-device-activation-code
Events,GET,https://webexapis.com/v1/events,List Events,https://developer.webex.com/docs/api/v1/events/list-events
Events,GET,https://webexapis.com/v1/events/{eventId},Get Event Details,https://developer.webex.com/docs/api/v1/events/get-event-details
Groups,POST,https://webexapis.com/v1/groups,Create a Group,https://developer.webex.com/docs/api/v1/groups/create-a-group
